,total_voltage,total_current,soc,temp_max,temp_min,motor_voltage,motor_current,milediff
0,542.4,15.0,100.0,20.0,15.0,543.0,0.0,0.0
1,542.4,0.0,100.0,20.0,15.0,542.0,0.0,0.0
2,542.6,2.0,100.0,20.0,15.0,542.0,0.0,0.002955889273089914
3,542.6,2.0,100.0,20.0,15.0,542.0,0.0,0.0
4,542.6,2.0,100.0,20.0,15.0,542.0,0.0,0.0
5,542.6,2.0,100.0,20.0,15.0,542.0,0.0,0.0028870385667133687
6,542.5,2.0,100.0,20.0,15.0,542.0,0.0,0.0
7,542.5,2.0,100.0,20.0,15.0,542.0,0.0,0.0
8,542.4,2.0,100.0,20.0,15.0,542.0,0.0,0.0028870385667133687
9,542.3,4.0,100.0,20.0,15.0,542.0,0.0,0.0
10,541.8,2.0,100.0,20.0,15.0,541.0,9.0,0.0
11,541.6,3.0,100.0,20.0,15.0,541.0,0.0,0.05701294859116465
12,538.1,15.0,100.0,20.0,15.0,538.0,13.0,0.0
13,535.0,48.0,99.0,20.0,15.0,535.0,46.0,0.0
14,538.0,1.0,99.0,20.0,15.0,538.0,0.0,0.15838730766326517
15,532.9,50.0,99.0,20.0,15.0,536.0,-5.0,0.0
16,534.4,37.0,99.0,20.0,15.0,534.0,31.0,0.0
17,528.3,133.0,99.0,20.0,15.0,530.0,83.0,0.3005151755680027
18,533.3,26.0,99.0,20.0,15.0,535.0,0.0,0.0
19,527.6,145.0,99.0,20.0,15.0,529.0,103.0,0.0
20,535.1,11.0,99.0,20.0,15.0,532.0,55.0,0.1975439279068483
21,535.5,1.0,99.0,20.0,15.0,535.0,0.0,0.0
22,536.0,1.0,99.0,20.0,15.0,536.0,0.0,0.0
23,533.4,56.0,99.0,20.0,15.0,533.0,46.0,0.05021706718190177
24,532.8,42.0,99.0,20.0,15.0,532.0,37.0,0.0
25,532.8,43.0,99.0,20.0,15.0,532.0,47.0,0.0
26,532.2,51.0,99.0,20.0,15.0,531.0,56.0,0.3390505263395417
27,532.7,39.0,99.0,20.0,15.0,532.0,48.0,0.0
28,533.1,37.0,99.0,20.0,15.0,533.0,34.0,0.0
29,531.8,70.0,99.0,20.0,15.0,531.0,77.0,0.32809672800010437
30,532.9,25.0,98.0,20.0,15.0,533.0,23.0,0.0
31,534.1,6.0,98.0,20.0,15.0,535.0,0.0,0.0
32,534.5,17.0,98.0,20.0,15.0,533.0,33.0,0.22885661183785264
33,535.7,0.0,98.0,20.0,15.0,536.0,0.0,0.0
34,534.8,31.0,98.0,20.0,15.0,534.0,24.0,0.0
35,531.6,109.0,98.0,20.0,15.0,527.0,150.0,0.15933115789846697
36,535.7,14.0,98.0,20.0,15.0,536.0,0.0,0.0
37,535.4,3.0,98.0,20.0,15.0,535.0,0.0,0.0
38,535.1,32.0,98.0,20.0,15.0,535.0,9.0,0.05318042943532542
39,535.9,9.0,98.0,20.0,15.0,535.0,3.0,0.0
40,536.1,3.0,98.0,20.0,15.0,536.0,0.0,0.0
41,536.1,11.0,98.0,20.0,15.0,535.0,12.0,0.12839708636158256
42,528.8,134.0,98.0,20.0,15.0,527.0,141.0,0.0
43,532.3,56.0,98.0,20.0,15.0,532.0,52.0,0.0
44,535.5,2.0,98.0,20.0,15.0,535.0,0.0,0.25811698106064707
45,530.8,102.0,98.0,20.0,15.0,532.0,49.0,0.0
46,532.7,41.0,98.0,20.0,15.0,532.0,44.0,0.0
47,532.3,48.0,98.0,20.0,15.0,532.0,49.0,0.3267031863839209
48,532.9,37.0,98.0,20.0,15.0,533.0,39.0,0.0
49,531.0,85.0,98.0,20.0,15.0,530.0,101.0,0.0
50,532.4,48.0,97.0,20.0,15.0,532.0,55.0,0.3186383234376079
51,533.6,33.0,97.0,20.0,15.0,533.0,38.0,0.0
