,total_voltage,total_current,soc,temp_max,temp_min,motor_voltage,motor_current,milediff
0,538.4,0.0,82,22.0,16.0,539.0,0.0,0.0
1,538.4,0.0,82,22.0,16.0,539.0,0.0,0.0
2,537.9,11.0,82,22.0,16.0,538.0,1.0,0.0030623945227584138
3,537.5,1.0,82,22.0,16.0,538.0,0.0,0.0
4,537.5,2.0,82,22.0,16.0,538.0,0.0,0.0
5,537.8,4.0,82,22.0,16.0,538.0,0.0,0.0031055789388552122
6,537.7,6.0,82,22.0,16.0,538.0,0.0,0.0
7,538.0,0.0,82,22.0,16.0,538.0,0.0,0.0
8,535.0,53.0,82,22.0,16.0,538.0,1.0,0.015748043341342353
9,536.0,32.0,82,22.0,16.0,536.0,34.0,0.0
10,535.5,23.0,82,22.0,16.0,535.0,27.0,0.0
11,536.7,0.0,82,22.0,16.0,537.0,0.0,0.18632109799975538
12,537.2,0.0,82,22.0,16.0,537.0,0.0,0.0
13,534.0,63.0,82,22.0,16.0,535.0,34.0,0.0
14,533.5,47.0,82,22.0,16.0,534.0,33.0,0.16838254639824257
15,533.0,43.0,82,22.0,16.0,533.0,43.0,0.0
16,534.3,16.0,82,22.0,16.0,535.0,15.0,0.0
17,536.3,-10.0,82,22.0,16.0,537.0,-13.0,0.3269565459909927
18,538.2,-1.0,82,22.0,16.0,538.0,0.0,0.0
19,530.6,72.0,82,22.0,16.0,531.0,58.0,0.0
20,532.1,43.0,82,22.0,16.0,533.0,32.0,0.22939780558114845
21,533.4,33.0,82,22.0,16.0,532.0,53.0,0.0
22,535.9,-10.0,82,22.0,16.0,536.0,-8.0,0.0
23,533.7,27.0,82,22.0,16.0,534.0,26.0,0.3159841086101226
24,540.8,-64.0,82,22.0,16.0,540.0,-44.0,0.0
25,537.0,1.0,82,22.0,16.0,537.0,0.0,0.0
26,532.5,74.0,82,22.0,16.0,532.0,80.0,0.143804080569181
27,530.0,76.0,82,22.0,16.0,530.0,75.0,0.0
28,533.1,23.0,82,22.0,16.0,533.0,24.0,0.0
29,531.0,70.0,82,22.0,16.0,530.0,66.0,0.32728860283932315
30,533.4,17.0,81,22.0,16.0,535.0,-7.0,0.0
31,535.2,-12.0,81,22.0,16.0,536.0,-11.0,0.0
32,540.6,-66.0,81,22.0,16.0,540.0,-52.0,0.2912321036640459
33,536.9,1.0,81,22.0,16.0,537.0,0.0,0.0
34,536.9,1.0,81,22.0,16.0,537.0,0.0,0.0
35,537.0,1.0,81,22.0,16.0,537.0,0.0,0.0031944440414672054
36,537.1,1.0,81,22.0,16.0,537.0,0.0,0.0
37,530.5,85.0,81,22.0,16.0,529.0,100.0,0.0
38,530.6,46.0,81,22.0,16.0,531.0,38.0,0.14960570833442247
39,529.1,93.0,81,22.0,16.0,528.0,107.0,0.0
40,531.4,38.0,81,22.0,16.0,531.0,50.0,0.0
41,531.5,43.0,81,22.0,16.0,533.0,23.0,0.3207534663199457
42,535.8,-9.0,81,22.0,16.0,536.0,-10.0,0.0
43,531.9,70.0,81,22.0,16.0,529.0,118.0,0.0
44,533.4,-14.0,80,22.0,16.0,530.0,53.0,0.3149602769710081
45,531.9,26.0,80,22.0,16.0,532.0,27.0,0.0
46,532.7,22.0,80,22.0,16.0,533.0,24.0,0.0
47,540.9,-57.0,80,22.0,16.0,538.0,-5.0,0.3304270890214097
48,528.0,93.0,80,22.0,16.0,528.0,102.0,0.0
49,532.8,19.0,80,22.0,16.0,533.0,21.0,0.0
50,532.5,23.0,80,22.0,16.0,534.0,-2.0,0.3145437647391916
51,542.5,-118.0,80,22.0,16.0,543.0,-96.0,0.0
52,535.5,10.0,80,22.0,16.0,536.0,5.0,0.0
53,529.5,85.0,80,22.0,16.0,530.0,47.0,0.21231973964955955
54,534.7,5.0,80,22.0,16.0,541.0,-97.0,0.0
55,535.6,5.0,80,22.0,16.0,535.0,0.0,0.0
56,535.9,0.0,80,22.0,16.0,536.0,0.0,0.10300596151429806
57,536.2,1.0,80,22.0,16.0,536.0,0.0,0.0
58,532.0,60.0,80,22.0,16.0,534.0,20.0,0.0
59,531.7,41.0,80,22.0,16.0,531.0,45.0,0.16376950678026164
60,531.5,18.0,80,22.0,16.0,535.0,-15.0,0.0
61,535.0,-12.0,80,22.0,16.0,532.0,49.0,0.0
62,531.8,54.0,80,22.0,15.0,532.0,29.0,0.29353204985476555
63,539.5,-46.0,80,22.0,15.0,538.0,-29.0,0.0
64,536.4,1.0,80,22.0,16.0,536.0,0.0,0.0
65,536.5,1.0,80,22.0,15.0,536.0,0.0,0.10596889515107857
