,Unnamed: 0,Unnamed: 0.1,time,speed,total_voltage,total_current,soc,temp_max,temp_min,motor_voltage,motor_current,mileage,secdiff,milediff
0,0,0,20180119184317.0,19.0,526.2,17.0,34.0,20.0,14.0,529.0,0.0,43481.9,3360.0,0.0
1,1,1,20180000000000.0,25.33333333333333,525.5333333333333,12.666666666666668,34.0,20.0,14.0,528.3333333333334,-5.0,43482.03333333333,10.0,0.13333333333139308
2,2,2,20180000000000.0,31.666666666666664,524.8666666666668,8.333333333333334,34.0,20.0,14.0,527.6666666666667,-10.0,43482.16666666667,10.0,0.13333333333866906
3,3,3,20180119184347.0,41.0,517.2,87.0,34.0,20.0,14.0,519.0,62.0,43482.2,30.0,0.03333333332557231
4,4,4,20180119184357.0,38.0,524.2,4.0,34.0,20.0,14.0,527.0,-15.0,43482.3,10.0,0.10000000000582077
5,5,5,20180119184407.0,35.0,516.6,104.0,33.0,20.0,14.0,525.0,7.0,43482.4,10.0,0.0999999999985448
6,6,6,20180000000000.0,21.5,520.45,61.5,33.0,20.0,14.0,526.0,3.5,43482.55,10.0,0.1500000000014552
7,7,7,20180119184427.0,36.0,517.1,30.0,33.0,20.0,14.0,524.0,-9.0,43482.6,20.0,0.049999999995634425
8,8,8,20180000000000.0,20.5,520.6500000000002,24.5,33.0,20.0,14.0,525.5,-4.5,43482.65,10.0,0.049999999995634425
9,9,9,20180119184447.0,8.0,524.3,19.0,33.0,20.0,14.0,527.0,0.0,43482.7,20.0,0.05000000000291038
10,10,10,20180119184457.0,5.0,524.2,19.0,33.0,20.0,14.0,527.0,0.0,43482.7,10.0,0.0
11,11,11,20180000000000.0,6.5,523.8,22.5,33.0,20.0,14.0,527.0,0.0,43482.75,10.0,0.05000000000291038
12,12,12,20180119184517.0,3.0,524.4,19.0,33.0,20.0,14.0,528.0,0.0,43482.8,20.0,0.05000000000291038
13,13,13,20180000000000.0,2.0,524.4,19.666666666666668,32.666666666666664,20.0,14.0,527.6666666666666,0.0,43482.8,10.0,0.0
14,14,14,20180000000000.0,1.0,524.4,20.333333333333336,32.33333333333333,20.0,14.0,527.3333333333333,0.0,43482.8,10.0,0.0
15,15,15,20180119184547.0,8.0,523.4,26.0,33.0,20.0,14.0,527.0,0.0,43482.8,30.0,0.0
16,16,16,20180000000000.0,4.5,523.95,23.0,32.5,20.0,14.0,527.0,0.0,43482.8,10.0,0.0
17,17,17,20180119184607.0,0.0,524.4,21.0,32.0,20.0,14.0,527.0,0.0,43482.8,20.0,0.0
18,18,18,20180119184617.0,1.0,524.5,20.0,32.0,20.0,14.0,527.0,0.0,43482.8,10.0,0.0
19,19,19,20180000000000.0,0.6666666666666667,524.3,19.0,32.0,20.0,14.0,527.0,0.0,43482.8,10.0,0.0
20,20,20,20180000000000.0,0.33333333333333337,524.1,18.0,32.0,20.0,14.0,527.0,0.0,43482.8,10.0,0.0
21,21,21,20180119184647.0,0.0,524.2,20.0,32.0,20.0,14.0,527.0,0.0,43482.8,30.0,0.0
22,22,22,20180119184657.0,0.0,523.9,17.0,32.0,20.0,14.0,527.0,0.0,43482.8,10.0,0.0
23,23,23,20180000000000.0,0.5,524.0999999999998,18.5,32.0,20.0,14.0,527.5,0.0,43482.8,10.0,0.0
24,24,24,20180119184717.0,0.0,523.9,31.0,32.0,20.0,14.0,527.0,0.0,43482.8,20.0,0.0
25,25,25,20180000000000.0,0.0,524.25,24.5,32.0,20.0,14.0,527.5,0.0,43482.8,10.0,0.0
26,26,26,20180119184737.0,1.0,524.3,20.0,32.0,20.0,14.0,528.0,0.0,43482.8,20.0,0.0
27,27,27,20180119184747.0,0.0,524.6,18.0,32.0,20.0,14.0,528.0,0.0,43482.8,10.0,0.0
28,28,28,20180119184757.0,0.0,524.7,18.0,32.0,20.0,14.0,528.0,0.0,43482.8,10.0,0.0
29,29,29,20180119184807.0,0.0,526.7,0.0,32.0,20.0,14.0,530.0,0.0,43482.8,10.0,0.0
30,30,30,20180000000000.0,0.0,527.4000000000002,0.0,32.0,20.0,14.0,530.5,0.0,43482.8,10.0,0.0
31,31,31,20180119184827.0,0.0,527.5,0.0,32.0,20.0,14.0,531.0,0.0,43482.8,20.0,0.0
32,32,32,20180000000000.0,0.0,527.7666666666668,0.0,32.0,20.0,14.0,531.3333333333333,0.0,43482.8,10.0,0.0
33,33,33,20180000000000.0,0.0,528.0333333333333,0.0,32.0,20.0,14.0,531.6666666666666,0.0,43482.8,10.0,0.0
34,34,34,20180119184857.0,0.0,528.1,0.0,32.0,20.0,14.0,531.0,0.0,43482.8,30.0,0.0
35,35,35,20180119184907.0,0.0,528.3,0.0,32.0,20.0,14.0,532.0,0.0,43482.8,10.0,0.0
36,36,36,20180000000000.0,0.0,528.45,0.0,32.0,20.0,14.0,532.0,0.0,43482.8,10.0,0.0
37,37,37,20180119184927.0,0.0,528.5,0.0,32.0,20.0,14.0,532.0,0.0,43482.8,20.0,0.0
38,38,38,20180119184937.0,0.0,528.6,0.0,32.0,20.0,14.0,532.0,0.0,43482.8,10.0,0.0
39,39,39,20180000000000.0,0.0,528.7,0.0,32.0,20.0,14.0,532.0,0.0,43482.8,10.0,0.0
40,40,40,20180119184957.0,0.0,528.7,0.0,32.0,20.0,14.0,532.0,0.0,43482.8,20.0,0.0
41,41,41,20180119185007.0,0.0,528.8,0.0,32.0,20.0,14.0,532.0,0.0,43482.8,10.0,0.0
42,42,42,20180119185017.0,0.0,528.9,0.0,32.0,20.0,14.0,532.0,0.0,43482.8,10.0,0.0
43,43,43,20180000000000.0,0.0,529.0,0.0,32.0,20.0,14.0,532.5,0.0,43482.8,10.0,0.0
44,44,44,20180119185037.0,0.0,529.0,0.0,32.0,20.0,14.0,532.0,0.0,43482.8,20.0,0.0
45,45,45,20180000000000.0,0.0,529.05,0.0,32.0,20.0,14.0,532.0,0.0,43482.8,10.0,0.0
46,46,46,20180119185057.0,0.0,529.1,0.0,32.0,20.0,14.0,533.0,0.0,43482.8,20.0,0.0
47,47,47,20180119185107.0,0.0,529.1,0.0,32.0,20.0,14.0,532.0,0.0,43482.8,10.0,0.0
48,48,48,20180119185117.0,0.0,529.2,0.0,32.0,20.0,14.0,533.0,0.0,43482.8,10.0,0.0
49,49,49,20180000000000.0,0.0,529.25,0.0,32.0,20.0,14.0,533.0,0.0,43482.8,10.0,0.0
50,50,50,20180119185137.0,0.0,529.3,0.0,32.0,20.0,14.0,533.0,0.0,43482.8,20.0,0.0
51,51,51,20180119185147.0,0.0,529.3,0.0,32.0,20.0,14.0,533.0,0.0,43482.8,10.0,0.0
52,52,52,20180119185157.0,0.0,529.4,0.0,32.0,20.0,14.0,533.0,0.0,43482.8,10.0,0.0
53,53,53,20180119185207.0,0.0,529.4,0.0,32.0,20.0,14.0,533.0,0.0,43482.8,10.0,0.0
54,54,54,20180119185217.0,0.0,529.4,0.0,32.0,20.0,14.0,533.0,0.0,43482.8,10.0,0.0
55,55,55,20180119185227.0,0.0,529.5,0.0,32.0,20.0,14.0,533.0,0.0,43482.8,10.0,0.0
56,56,56,20180119185237.0,0.0,529.5,0.0,32.0,20.0,14.0,533.0,0.0,43482.8,10.0,0.0
57,57,57,20180119185247.0,0.0,529.5,0.0,32.0,20.0,14.0,533.0,0.0,43482.8,10.0,0.0
58,58,58,20180119185257.0,0.0,529.6,0.0,32.0,20.0,14.0,524.0,0.0,43482.8,10.0,0.0
2065,2065,2065,20180120073252.0,0.0,560.5,0.0,100.0,20.0,14.0,565.0,0.0,43482.0,10021.0,0.0999999999985448
2066,2066,2066,20180120073302.0,0.0,560.1,1.0,100.0,20.0,14.0,565.0,0.0,43482.0,10.0,0.0
2067,2067,2067,20180120073312.0,0.0,559.7,1.0,100.0,20.0,14.0,564.0,0.0,43482.0,10.0,0.0
2068,2068,2068,20180120073322.0,0.0,559.3,2.0,100.0,20.0,14.0,563.0,0.0,43482.0,10.0,0.0
2069,2069,2069,20180120073332.0,0.0,558.9,2.0,100.0,20.0,14.0,564.0,0.0,43482.0,10.0,0.0
2070,2070,2070,20180120073342.0,0.0,558.6,1.0,100.0,20.0,14.0,563.0,0.0,43482.0,10.0,0.0
2071,2071,2071,20180120073352.0,0.0,558.2,1.0,100.0,20.0,14.0,563.0,0.0,43482.0,10.0,0.0
2072,2072,2072,20180120073402.0,0.0,557.9,1.0,100.0,20.0,14.0,563.0,0.0,43482.0,10.0,0.0
2073,2073,2073,20180120073412.0,0.0,557.6,1.0,100.0,20.0,14.0,562.0,0.0,43482.0,10.0,0.0
2074,2074,2074,20180120073422.0,0.0,557.4,1.0,100.0,20.0,14.0,562.0,0.0,43482.0,10.0,0.0
2075,2075,2075,20180120073432.0,0.0,557.1,1.0,100.0,20.0,14.0,562.0,0.0,43482.0,10.0,0.0
2076,2076,2076,20180120073442.0,0.0,556.8,1.0,100.0,20.0,14.0,562.0,0.0,43482.0,10.0,0.0
2077,2077,2077,20180120073452.0,0.0,556.5,1.0,100.0,20.0,14.0,561.0,0.0,43482.0,10.0,0.0
2078,2078,2078,20180120073502.0,0.0,556.3,1.0,100.0,20.0,14.0,561.0,0.0,43482.0,10.0,0.0
2079,2079,2079,20180120073512.0,0.0,556.0,1.0,100.0,20.0,14.0,561.0,0.0,43482.0,10.0,0.0
2080,2080,2080,20180120073522.0,0.0,555.8,1.0,100.0,20.0,14.0,560.0,0.0,43482.0,10.0,0.0
2081,2081,2081,20180120073532.0,0.0,555.5,1.0,100.0,20.0,14.0,560.0,0.0,43482.0,10.0,0.0
2082,2082,2082,20180120073542.0,0.0,555.3,1.0,100.0,20.0,14.0,560.0,0.0,43482.0,10.0,0.0
2083,2083,2083,20180120073552.0,0.0,555.1,1.0,100.0,20.0,14.0,560.0,0.0,43482.0,10.0,0.0
2084,2084,2084,20180120073602.0,0.0,554.9,1.0,100.0,20.0,14.0,559.0,0.0,43482.0,10.0,0.0
2085,2085,2085,20180120073612.0,0.0,554.7,1.0,100.0,20.0,14.0,559.0,0.0,43482.0,10.0,0.0
2086,2086,2086,20180120073622.0,0.0,554.4,1.0,100.0,20.0,14.0,559.0,0.0,43482.0,10.0,0.0
2087,2087,2087,20180120073632.0,4.0,553.1,5.0,100.0,20.0,14.0,558.0,0.0,43482.0,10.0,0.0
2088,2088,2088,20180120073642.0,10.0,550.1,18.0,100.0,20.0,14.0,554.0,13.0,43482.0,10.0,0.0
2089,2089,2089,20180120073652.0,9.0,546.9,63.0,100.0,20.0,14.0,550.0,60.0,43482.0,10.0,0.0
2090,2090,2090,20180120073702.0,29.0,540.8,47.0,100.0,20.0,14.0,544.0,36.0,43482.1,10.0,0.0999999999985448
2091,2091,2091,20180120073712.0,33.0,532.4,129.0,100.0,20.0,14.0,536.0,103.0,43482.1,10.0,0.0
2092,2092,2092,20180120073722.0,28.0,540.5,2.0,99.0,20.0,14.0,545.0,0.0,43482.2,10.0,0.0999999999985448
2093,2093,2093,20180120073732.0,0.0,540.9,3.0,99.0,20.0,14.0,545.0,0.0,43482.3,10.0,0.10000000000582077
2094,2094,2094,20180120073742.0,0.0,539.8,3.0,99.0,20.0,14.0,544.0,0.0,43482.3,10.0,0.0
2095,2095,2095,20180120073752.0,42.0,526.7,117.0,99.0,20.0,14.0,530.0,96.0,43482.4,10.0,0.0999999999985448
2096,2096,2096,20180120073802.0,41.0,535.1,0.0,99.0,20.0,14.0,539.0,0.0,43482.5,10.0,0.0999999999985448
2097,2097,2097,20180120073812.0,33.0,536.1,1.0,99.0,20.0,14.0,541.0,0.0,43482.6,10.0,0.0999999999985448
2098,2098,2098,20180120073822.0,0.0,536.5,2.0,99.0,20.0,14.0,541.0,0.0,43482.6,10.0,0.0
2099,2099,2099,20180120073832.0,0.0,536.8,2.0,99.0,20.0,14.0,541.0,0.0,43482.6,10.0,0.0
2100,2100,2100,20180120073842.0,0.0,537.0,2.0,99.0,20.0,14.0,542.0,0.0,43482.6,10.0,0.0
2101,2101,2101,20180120073852.0,0.0,537.2,2.0,99.0,20.0,14.0,542.0,0.0,43482.6,10.0,0.0
2102,2102,2102,20180120073902.0,19.0,533.2,49.0,99.0,20.0,14.0,537.0,40.0,43482.6,10.0,0.0
2103,2103,2103,20180120073912.0,37.0,529.1,56.0,99.0,20.0,14.0,535.0,19.0,43482.7,10.0,0.0999999999985448
2104,2104,2104,20180120073922.0,41.0,530.9,50.0,99.0,20.0,14.0,535.0,37.0,43482.8,10.0,0.10000000000582077
2105,2105,2105,20180120073932.0,40.0,533.7,5.0,99.0,20.0,14.0,539.0,0.0,43482.9,10.0,0.0999999999985448
2106,2106,2106,20180120073942.0,36.0,524.4,129.0,99.0,20.0,14.0,529.0,92.0,43483.0,10.0,0.0999999999985448
2107,2107,2107,20180120073952.0,45.0,528.0,77.0,99.0,20.0,14.0,532.0,60.0,43483.1,10.0,0.0999999999985448
2108,2108,2108,20180120074002.0,46.0,530.5,50.0,98.0,20.0,14.0,534.0,36.0,43483.3,10.0,0.2000000000043656
2109,2109,2109,20180120074012.0,46.0,530.4,48.0,98.0,20.0,14.0,534.0,37.0,43483.4,10.0,0.0999999999985448
