,speed,total_voltage,total_current,soc,temp_max,temp_min,motor_voltage,motor_current,mileage,milediff,total_P,motor_P,speeddiff,milegap,tempMAXMINdiff,SOCgap
0,0.0,543.2,2.0,100.0,17.0,16.0,547.0,0.0,53121.4,-0.6999999999970896,1086.4,0.0,,0.0,1.0,0.0
1,0.0,543.2,1.0,100.0,17.0,16.0,547.0,0.0,53121.4,0.0,543.2,0.0,0.0,0.0,1.0,0.0
2,0.0,543.1,1.0,100.0,17.0,16.0,546.0,0.0,53121.4,0.0,543.1,0.0,0.0,0.0,1.0,0.0
3,3.0,542.9,3.0,100.0,17.0,16.0,546.0,0.0,53121.4,0.0,1628.6999999999996,0.0,3.0,0.0,1.0,0.0
4,4.0,541.9,14.0,100.0,17.0,16.0,545.0,11.0,53121.4,0.0,7586.5999999999985,5995.0,1.0,0.0,1.0,0.0
5,9.0,541.2,10.0,100.0,17.0,16.0,544.0,6.0,53121.4,0.0,5412.0,3264.0,5.0,0.0,1.0,0.0
6,0.0,541.9,2.0,100.0,17.0,16.0,545.0,0.0,53121.4,0.0,1083.8,0.0,-9.0,0.0,1.0,0.0
7,0.0,542.0,1.0,100.0,17.0,16.0,545.0,0.0,53121.4,0.0,542.0,0.0,0.0,0.0,1.0,0.0
8,0.0,542.0,1.0,100.0,17.0,16.0,545.0,0.0,53121.4,0.0,542.0,0.0,0.0,0.0,1.0,0.0
9,0.0,542.0,1.0,100.0,17.0,16.0,545.0,0.0,53121.4,0.0,542.0,0.0,0.0,0.0,1.0,0.0
10,0.0,542.0,1.0,100.0,17.0,16.0,545.0,0.0,53121.4,0.0,542.0,0.0,0.0,0.0,1.0,0.0
11,0.0,541.9,1.0,100.0,17.0,16.0,545.0,0.0,53121.4,0.0,541.9,0.0,0.0,0.0,1.0,0.0
12,0.0,541.9,1.0,100.0,17.0,16.0,545.0,0.0,53121.4,0.0,541.9,0.0,0.0,0.0,1.0,0.0
13,0.0,541.9,1.0,100.0,17.0,16.0,545.0,0.0,53121.4,0.0,541.9,0.0,0.0,0.0,1.0,0.0
14,0.0,541.8,1.0,100.0,17.0,16.0,545.0,0.0,53121.4,0.0,541.8,0.0,0.0,0.0,1.0,0.0
15,0.0,541.8,1.0,100.0,17.0,16.0,545.0,0.0,53121.4,0.0,541.8,0.0,0.0,0.0,1.0,0.0
16,0.0,541.7,1.0,100.0,17.0,16.0,545.0,0.0,53121.4,0.0,541.7,0.0,0.0,0.0,1.0,0.0
17,10.0,540.2,12.0,100.0,17.0,16.0,543.0,8.0,53121.4,0.0,6482.4000000000015,4344.0,10.0,0.0,1.0,0.0
