,Unnamed: 0,time,speed,total_voltage,total_current,soc,temp_max,temp_min,motor_voltage,motor_current,mileage,secdiff,milediff
0,0,20181108122746.0,3.0,550.2,0.0,100.0,15.0,13.0,549.0,0.0,66676.5,28489.0,0.0
1,1,20181108122756.0,6.0,547.7,22.0,100.0,15.0,13.0,548.0,1.0,66676.5,10.0,0.0
2,2,20181108122806.0,0.0,547.9,12.0,100.0,15.0,13.0,548.0,0.0,66676.5,10.0,0.0
3,3,20181108122816.0,0.0,547.8,0.0,100.0,15.0,13.0,547.0,0.0,66676.5,10.0,0.0
4,4,20181108122826.0,1.0,547.8,2.0,100.0,15.0,13.0,548.0,0.0,66676.5,10.0,0.0
5,5,20181108122836.0,3.0,547.4,4.0,100.0,15.0,13.0,547.0,1.0,66676.5,10.0,0.0
6,6,20181108122846.0,6.0,546.9,1.0,100.0,15.0,13.0,547.0,0.0,66676.5,10.0,0.0
7,7,20181108122856.0,0.0,547.0,1.0,100.0,15.0,13.0,547.0,0.0,66676.5,10.0,0.0
8,8,20181108122906.0,5.0,546.6,1.0,100.0,15.0,13.0,546.0,0.0,66676.5,10.0,0.0
9,9,20181108122916.0,0.0,545.9,7.0,100.0,15.0,13.0,546.0,0.0,66676.5,10.0,0.0
10,10,20181108122926.0,0.0,545.5,0.0,100.0,15.0,13.0,545.0,0.0,66676.5,10.0,0.0
11,11,20181108122936.0,0.0,545.1,5.0,100.0,15.0,13.0,545.0,0.0,66676.5,10.0,0.0
12,12,20181108122946.0,0.0,545.4,1.0,100.0,15.0,13.0,545.0,0.0,66676.5,10.0,0.0
13,13,20181108122956.0,0.0,545.4,1.0,100.0,15.0,13.0,545.0,0.0,66676.5,10.0,0.0
14,14,20181108123006.0,0.0,545.4,1.0,100.0,15.0,13.0,545.0,0.0,66676.5,10.0,0.0
15,15,20181108123016.0,1.0,544.9,1.0,100.0,15.0,13.0,545.0,0.0,66676.5,10.0,0.0
16,16,20181108123026.0,8.0,544.4,1.0,100.0,15.0,13.0,544.0,0.0,66676.5,10.0,0.0
17,17,20181108123036.0,22.0,538.6,62.0,100.0,15.0,13.0,538.0,62.0,66676.6,10.0,0.10000000000582077
18,18,20181108123046.0,36.0,535.9,52.0,99.0,15.0,13.0,535.0,47.0,66676.7,10.0,0.09999999999126884
19,19,20181108123056.0,32.0,539.2,0.0,99.0,15.0,13.0,539.0,0.0,66676.8,10.0,0.10000000000582077
20,20,20181108123106.0,0.0,539.6,1.0,99.0,15.0,13.0,539.0,0.0,66676.8,10.0,0.0
21,21,20181108123116.0,0.0,539.8,1.0,99.0,15.0,13.0,540.0,0.0,66676.8,10.0,0.0
22,22,20181108123126.0,0.0,539.9,1.0,99.0,15.0,13.0,540.0,0.0,66676.8,10.0,0.0
23,23,20181108123136.0,0.0,540.0,1.0,99.0,15.0,13.0,540.0,0.0,66676.8,10.0,0.0
24,24,20181108123146.0,23.0,532.6,101.0,99.0,15.0,13.0,531.0,109.0,66676.8,10.0,0.0
25,25,20181108123156.0,41.0,532.4,54.0,99.0,15.0,13.0,532.0,54.0,66676.9,10.0,0.09999999999126884
26,26,20181108123206.0,40.0,532.1,67.0,99.0,15.0,13.0,532.0,67.0,66677.0,10.0,0.10000000000582077
27,27,20181108123216.0,35.0,535.9,0.0,99.0,15.0,13.0,536.0,0.0,66677.1,10.0,0.10000000000582077
28,28,20181108123226.0,26.0,531.8,70.0,99.0,15.0,13.0,535.0,2.0,66677.2,10.0,0.09999999999126884
29,29,20181108123236.0,0.0,535.9,0.0,99.0,15.0,13.0,536.0,0.0,66677.3,10.0,0.10000000000582077
30,30,20181108123246.0,0.0,536.0,-1.0,99.0,15.0,13.0,536.0,0.0,66677.3,10.0,0.0
31,31,20180000000000.0,23.0,534.45,10.0,99.0,15.0,13.0,534.5,15.5,66677.4,10.0,0.09999999999126884
32,32,20181108123306.0,47.0,531.4,36.0,99.0,15.0,13.0,531.0,49.0,66677.4,20.0,0.0
33,33,20181108123316.0,46.0,532.9,21.0,99.0,15.0,13.0,533.0,31.0,66677.5,10.0,0.10000000000582077
34,34,20181108123326.0,37.0,534.8,0.0,99.0,15.0,13.0,535.0,0.0,66677.7,10.0,0.1999999999970896
35,35,20181108123336.0,1.0,535.2,1.0,99.0,15.0,13.0,535.0,0.0,66677.7,10.0,0.0
36,36,20181108123346.0,0.0,535.6,1.0,99.0,15.0,13.0,535.0,0.0,66677.7,10.0,0.0
37,37,20181108123356.0,35.0,525.9,148.0,99.0,15.0,13.0,524.0,162.0,66677.7,10.0,0.0
38,38,20180000000000.0,41.0,527.8,106.0,98.5,15.0,13.0,526.5,119.5,66677.9,10.0,0.1999999999970896
39,39,20181108123416.0,47.0,530.4,50.0,98.0,15.0,13.0,530.0,63.0,66678.0,20.0,0.10000000000582077
40,40,20181108123426.0,47.0,529.7,64.0,98.0,15.0,13.0,529.0,77.0,66678.1,10.0,0.10000000000582077
41,41,20181108123436.0,46.0,533.7,0.0,98.0,15.0,13.0,534.0,0.0,66678.3,10.0,0.1999999999970896
42,42,20181108123446.0,49.0,527.6,91.0,98.0,15.0,13.0,528.0,83.0,66678.4,10.0,0.09999999999126884
43,43,20181108123456.0,50.0,533.5,1.0,98.0,15.0,13.0,533.0,0.0,66678.5,10.0,0.10000000000582077
44,44,20181108123506.0,44.0,525.3,125.0,98.0,15.0,13.0,525.0,142.0,66678.6,10.0,0.10000000000582077
