,time,total_voltage,total_current,soc,temp_max,temp_min,motor_voltage,motor_current,mileage
0,20181007133312,542.8,8.0,100,18.0,16.0,547.0,0.0,67607.0
1,20181007133322,542.1,14.0,100,18.0,16.0,547.0,0.0,
2,20181007133332,541.9,7.0,100,18.0,16.0,546.0,0.0,
3,20181007133342,541.6,7.0,100,18.0,16.0,546.0,0.0,
4,20181007133352,541.8,0.0,100,18.0,16.0,546.0,0.0,
5,20181007133402,541.9,0.0,100,18.0,16.0,546.0,0.0,
6,20181007133412,542.0,0.0,100,18.0,16.0,546.0,0.0,
7,20181007133422,542.0,0.0,100,18.0,16.0,546.0,0.0,
8,20181007133432,542.0,0.0,100,18.0,16.0,546.0,0.0,
9,20181007133442,542.1,0.0,100,18.0,16.0,546.0,0.0,
10,20181007133452,542.1,0.0,100,18.0,16.0,547.0,0.0,
11,20181007133502,542.1,0.0,100,18.0,16.0,546.0,0.0,
12,20181007133512,542.1,0.0,100,18.0,16.0,546.0,0.0,
13,20181007133522,542.1,0.0,100,18.0,16.0,546.0,0.0,
14,20181007133532,542.1,0.0,100,18.0,16.0,546.0,0.0,
15,20181007133542,542.1,0.0,100,18.0,16.0,546.0,0.0,
16,20181007133552,542.1,0.0,100,18.0,16.0,546.0,0.0,
17,20181007133602,542.1,0.0,100,18.0,16.0,546.0,0.0,
18,20181007133612,542.0,0.0,100,18.0,16.0,546.0,0.0,
19,20181007133622,542.0,0.0,100,18.0,16.0,546.0,0.0,
20,20181007133632,542.0,0.0,100,18.0,16.0,546.0,0.0,
21,20181007133642,542.0,0.0,100,18.0,16.0,546.0,0.0,
22,20181007133652,542.0,0.0,100,18.0,16.0,546.0,0.0,
23,20181007133702,542.0,0.0,100,18.0,16.0,546.0,0.0,
24,20181007133712,542.0,0.0,100,18.0,16.0,546.0,0.0,
25,20181007133722,542.0,0.0,100,18.0,16.0,546.0,0.0,
26,20181007133732,542.0,0.0,100,18.0,16.0,546.0,0.0,
27,20181007133742,541.9,0.0,100,18.0,16.0,546.0,0.0,
28,20181007133752,541.9,0.0,100,18.0,16.0,546.0,0.0,
29,20181007133802,541.9,0.0,100,18.0,16.0,546.0,0.0,
30,20181007133812,541.9,0.0,100,18.0,16.0,546.0,0.0,
31,20181007133822,541.9,0.0,100,18.0,16.0,546.0,0.0,
32,20181007133832,541.9,0.0,100,18.0,16.0,546.0,0.0,
33,20181007133842,541.8,0.0,100,18.0,16.0,546.0,0.0,
34,20181007133852,541.8,0.0,100,18.0,16.0,546.0,0.0,
35,20181007133902,541.8,0.0,100,18.0,16.0,546.0,0.0,
36,20181007133912,541.8,0.0,100,18.0,16.0,546.0,0.0,
37,20181007133922,541.8,0.0,100,18.0,16.0,546.0,0.0,
38,20181007133932,541.8,0.0,100,18.0,16.0,546.0,0.0,
39,20181007133942,541.8,0.0,100,18.0,16.0,546.0,0.0,
40,20181007133952,541.8,0.0,100,18.0,16.0,546.0,0.0,
41,20181007134002,541.7,0.0,100,18.0,16.0,546.0,0.0,
42,20181007134012,541.7,0.0,100,18.0,16.0,546.0,0.0,
43,20181007134022,541.7,0.0,100,18.0,16.0,546.0,0.0,
44,20181007134032,541.7,0.0,100,18.0,16.0,546.0,0.0,
45,20181007134042,541.7,0.0,100,18.0,16.0,546.0,0.0,
46,20181007134052,541.7,0.0,100,18.0,16.0,546.0,0.0,
47,20181007134102,541.7,0.0,100,18.0,16.0,546.0,0.0,
48,20181007134112,541.6,0.0,100,18.0,16.0,546.0,0.0,
49,20181007134122,541.6,0.0,100,18.0,16.0,546.0,0.0,
50,20181007134132,541.6,0.0,100,18.0,16.0,546.0,0.0,
51,20181007134142,541.6,0.0,100,18.0,16.0,546.0,0.0,
52,20181007134152,541.6,0.0,100,18.0,16.0,546.0,0.0,
53,20181007134202,541.5,0.0,100,18.0,16.0,546.0,0.0,
54,20181007134212,541.5,0.0,100,18.0,16.0,546.0,0.0,
55,20181007134222,541.5,0.0,100,18.0,16.0,546.0,0.0,
56,20181007134232,541.5,0.0,100,18.0,16.0,546.0,0.0,
57,20181007134242,541.5,0.0,100,18.0,16.0,546.0,0.0,
58,20181007134252,541.5,0.0,100,18.0,16.0,546.0,0.0,
59,20181007134302,541.5,0.0,100,18.0,16.0,546.0,0.0,
60,20181007134312,541.5,0.0,100,18.0,16.0,545.0,0.0,
61,20181007134322,541.4,0.0,100,18.0,16.0,546.0,0.0,
62,20181007134332,541.4,0.0,100,18.0,16.0,545.0,0.0,
63,20181007134342,541.4,0.0,100,18.0,16.0,545.0,0.0,
64,20181007134352,541.4,0.0,100,18.0,16.0,546.0,0.0,
65,20181007134402,541.4,0.0,100,18.0,16.0,545.0,0.0,
66,20181007134412,541.4,0.0,100,18.0,16.0,545.0,0.0,
67,20181007134422,541.3,0.0,100,18.0,16.0,545.0,0.0,
68,20181007134432,541.3,0.0,100,18.0,16.0,545.0,0.0,
69,20181007134442,541.3,0.0,100,18.0,16.0,545.0,0.0,
70,20181007134452,541.3,0.0,100,18.0,16.0,545.0,0.0,
71,20181007134502,541.3,0.0,100,18.0,16.0,545.0,0.0,
72,20181007134512,541.3,0.0,100,18.0,16.0,545.0,0.0,
73,20181007134522,541.3,0.0,100,18.0,16.0,545.0,0.0,
74,20181007134532,541.2,0.0,100,18.0,16.0,545.0,0.0,
75,20181007134542,541.2,0.0,100,18.0,16.0,545.0,0.0,
76,20181007134552,541.2,0.0,100,18.0,16.0,545.0,0.0,
77,20181007134602,541.2,0.0,100,18.0,16.0,545.0,0.0,
78,20181007134612,541.2,0.0,100,18.0,16.0,545.0,0.0,
79,20181007134622,541.2,0.0,100,18.0,16.0,545.0,0.0,
80,20181007134632,541.1,0.0,100,18.0,16.0,545.0,0.0,
81,20181007134642,541.1,0.0,100,18.0,16.0,545.0,0.0,
82,20181007134652,541.1,0.0,100,18.0,16.0,545.0,0.0,
83,20181007134702,541.1,0.0,100,18.0,16.0,545.0,0.0,
84,20181007134712,541.1,0.0,100,18.0,16.0,545.0,0.0,
