,time,total_voltage,total_current,soc,temp_max,temp_min,motor_voltage,motor_current,mileage
0,20180519122251,539.3,0.0,100,26.0,25.0,542.0,0.0,49843.8
1,20180519122301,539.1,12.0,100,26.0,25.0,542.0,0.0,
2,20180519122311,539.2,2.0,100,26.0,25.0,542.0,0.0,
3,20180519122321,539.1,0.0,100,26.0,25.0,542.0,0.0,
4,20180519122331,539.4,0.0,100,26.0,25.0,542.0,0.0,
5,20180519122341,539.4,0.0,100,26.0,25.0,543.0,0.0,
6,20180519122351,539.5,0.0,100,26.0,25.0,543.0,0.0,
7,20180519122401,539.5,0.0,100,26.0,25.0,543.0,0.0,
8,20180519122411,539.5,1.0,100,26.0,25.0,543.0,0.0,
9,20180519122421,539.5,2.0,100,26.0,25.0,543.0,0.0,
10,20180519122431,539.2,6.0,100,26.0,25.0,542.0,0.0,
11,20180519122441,539.0,7.0,100,26.0,25.0,542.0,0.0,
12,20180519122451,538.8,7.0,100,26.0,25.0,542.0,0.0,
13,20180519122501,538.6,7.0,100,26.0,25.0,542.0,0.0,
14,20180519122511,538.5,7.0,100,26.0,25.0,541.0,0.0,
15,20180519122521,538.4,7.0,100,26.0,25.0,541.0,0.0,
16,20180519122531,538.3,7.0,100,26.0,25.0,541.0,0.0,
17,20180519122541,538.1,8.0,100,26.0,25.0,541.0,0.0,
18,20180519122551,538.0,9.0,100,26.0,25.0,541.0,0.0,
19,20180519122601,537.9,9.0,100,26.0,25.0,541.0,0.0,
20,20180519122611,537.7,10.0,100,26.0,25.0,541.0,0.0,
21,20180519122621,537.6,11.0,100,26.0,25.0,541.0,0.0,
22,20180519122631,537.4,11.0,99,26.0,25.0,540.0,0.0,
23,20180519122641,537.3,11.0,99,26.0,25.0,540.0,0.0,
24,20180519122651,537.1,12.0,99,26.0,25.0,540.0,0.0,
25,20180519122701,537.0,13.0,99,26.0,25.0,540.0,0.0,
26,20180519122711,536.8,13.0,99,26.0,25.0,540.0,0.0,
27,20180519122721,536.7,13.0,99,26.0,25.0,540.0,0.0,
28,20180519122731,536.7,13.0,99,26.0,25.0,540.0,0.0,
29,20180519122741,536.6,13.0,99,26.0,25.0,540.0,0.0,
30,20180519122751,536.5,13.0,99,26.0,25.0,539.0,0.0,
31,20180519122801,536.4,13.0,99,26.0,25.0,539.0,0.0,
32,20180519122811,536.4,13.0,99,26.0,25.0,539.0,0.0,
33,20180519122821,536.3,13.0,99,26.0,25.0,539.0,0.0,
34,20180519122831,536.3,13.0,99,26.0,25.0,539.0,0.0,
