,speed,total_voltage,total_current,soc,temp_max,temp_min,motor_voltage,motor_current,mileage,milediff,total_P,motor_P,speeddiff,milegap,tempMAXMINdiff,SOCgap
0,9.0,539.3,0.0,100.0,26.0,25.0,542.0,0.0,55674.8,-0.1999999999970896,0.0,0.0,,0.0,1.0,0.0
1,5.0,539.1,5.0,100.0,26.0,25.0,542.0,0.0,55674.8,0.0,2695.5,0.0,-4.0,0.0,1.0,0.0
2,1.0,538.9,7.0,100.0,26.0,25.0,541.0,3.0,55674.8,0.0,3772.3,1623.0,-4.0,0.0,1.0,0.0
3,1.0,538.7,10.0,100.0,26.0,25.0,541.0,3.0,55674.8,0.0,5387.0,1623.0,0.0,0.0,1.0,0.0
4,1.0,538.3,16.0,100.0,26.0,25.0,541.0,7.0,55674.8,0.0,8612.8,3787.0,0.0,0.0,1.0,0.0
5,1.0,538.4,15.0,100.0,26.0,25.0,541.0,0.0,55674.8,0.0,8076.0,0.0,0.0,0.0,1.0,0.0
6,4.0,538.5,1.0,100.0,26.0,25.0,541.0,0.0,55674.8,0.0,538.5,0.0,3.0,0.0,1.0,0.0
7,3.0,538.5,4.0,100.0,26.0,25.0,541.0,2.0,55674.8,0.0,2154.0,1082.0,-1.0,0.0,1.0,0.0
8,1.0,538.6,2.0,100.0,26.0,25.0,542.0,0.0,55674.8,0.0,1077.2,0.0,-2.0,0.0,1.0,0.0
9,0.0,538.4,5.0,100.0,26.0,25.0,541.0,0.0,55674.8,0.0,2692.0,0.0,-1.0,0.0,1.0,0.0
10,0.0,538.6,0.0,100.0,26.0,25.0,533.0,0.0,55674.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,10.0,539.0,12.0,100.0,26.0,25.0,542.0,7.0,55674.8,0.0,6468.0,3794.0,10.0,0.0,1.0,0.0
12,0.0,539.4,1.0,100.0,26.0,25.0,542.0,0.0,55674.9,0.0999999999985448,539.4,0.0,-10.0,0.0999999999985448,1.0,0.0
13,0.0,539.4,0.0,100.0,26.0,25.0,542.0,0.0,55674.9,0.0,0.0,0.0,0.0,0.0999999999985448,1.0,0.0
14,0.0,539.5,0.0,100.0,26.0,25.0,542.0,0.0,55674.9,0.0,0.0,0.0,0.0,0.0999999999985448,1.0,0.0
15,0.0,539.5,0.0,100.0,26.0,25.0,542.0,0.0,55674.9,0.0,0.0,0.0,0.0,0.0999999999985448,1.0,0.0
16,0.0,539.5,0.0,100.0,26.0,25.0,542.0,0.0,55674.9,0.0,0.0,0.0,0.0,0.0999999999985448,1.0,0.0
17,0.0,539.5,0.0,100.0,26.0,25.0,542.0,0.0,55674.9,0.0,0.0,0.0,0.0,0.0999999999985448,1.0,0.0
18,0.0,539.5,0.0,100.0,26.0,25.0,542.0,0.0,55674.9,0.0,0.0,0.0,0.0,0.0999999999985448,1.0,0.0
